preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
Virtual Reality,0.91,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Conceptual Design,Low,2025-04-22,5
Construction Document,0.9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,Neutral,2025-05-01,7
Door & Window Schedule,0.67,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Lighting & Fixture Plan,Neutral,2025-04-21,1
Material Board,0.65,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,Neutral,2025-04-28,2
Hardscape Plan,0.98,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Hardscape Plan,High,2025-04-27,6
Reflected Ceiling Plan,0.85,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Furniture Layout Plan,Neutral,2025-04-13,3
Virtual Reality,0.81,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,Neutral,2025-05-07,7
Floor Plan,0.8,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Permit Drawing,High,2025-05-02,5
Floor Plan,0.72,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Finish Schedule,Low,2025-04-26,5
3D Render,0.75,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Lighting & Fixture Plan,Neutral,2025-05-06,9
Landscape Plan,0.68,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Neutral,2025-05-06,2
Zoning & Building Code Compliance,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,High,2025-04-26,8
Interior Layout Plan,0.75,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,Low,2025-05-02,3
Lighting & Fixture Plan,0.71,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-05-04,2
Door & Window Schedule,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,Zoning & Building Code Compliance,High,2025-04-22,0
Design Development,0.64,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Construction Document,High,2025-05-06,10
Furniture Layout Plan,0.84,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,Low,2025-05-07,7
Interior Layout Plan,0.9,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,Neutral,2025-05-07,5
3D Model,0.97,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Roof Plan,Low,2025-04-18,5
Custom Millwork & Joinery Drawing,0.67,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Floor Plan,High,2025-04-26,7
Roof Plan,0.88,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Low,2025-04-23,10
Furniture Layout Plan,0.89,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-05-01,5
Section Drawing,0.79,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,Neutral,2025-05-06,7
Door & Window Schedule,0.81,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Design Development,Low,2025-04-12,8
Others,0.93,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Low,2025-05-05,0
Custom Millwork & Joinery Drawing,0.86,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Custom Millwork & Joinery Drawing,Neutral,2025-05-10,4
Design Development,0.94,Structural Coordination,Coordinate with the structural engineer for beam placements.,Interior Layout Plan,High,2025-05-02,3
Custom Millwork & Joinery Drawing,0.63,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Zoning & Building Code Compliance,High,2025-04-16,5
Interior Layout Plan,0.81,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Section Drawing,Neutral,2025-04-26,0
Hardscape Plan,0.78,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,Neutral,2025-04-19,0
Hardscape Plan,0.77,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Technical Specification,Low,2025-05-04,3
Zoning & Building Code Compliance,0.65,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Interior Layout Plan,High,2025-05-07,3
Custom Millwork & Joinery Drawing,0.66,Technical Specifications,Compile technical specifications for the construction phase.,Virtual Reality,Neutral,2025-05-02,5
Furniture Layout Plan,0.69,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,Low,2025-05-10,10
Design Development,0.89,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,Low,2025-05-09,0
Reflected Ceiling Plan,0.9,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Landscape Plan,Neutral,2025-04-28,9
Furniture Layout Plan,0.61,Technical Specifications,Compile technical specifications for the construction phase.,Partition Plan,Low,2025-04-21,3
3D Render,0.64,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Zoning & Building Code Compliance,Neutral,2025-04-25,1
Roof Plan,0.94,Construction Documentation,Compile detailed construction drawings for city permit approval.,Design Development,High,2025-04-26,4
3D Render,0.61,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,High,2025-04-30,0
Door & Window Schedule,0.78,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Zoning & Building Code Compliance,High,2025-04-22,5
Section Drawing,0.93,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Zoning & Building Code Compliance,Neutral,2025-04-13,0
Section Drawing,0.62,Technical Specifications,Compile technical specifications for the construction phase.,Zoning & Building Code Compliance,High,2025-04-15,1
Virtual Reality,0.79,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,Low,2025-05-10,0
Site Plan,0.87,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Others,Neutral,2025-04-13,0
Hardscape Plan,0.63,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Finish Schedule,Low,2025-04-14,2
Hardscape Plan,0.61,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Low,2025-04-15,9
Custom Millwork & Joinery Drawing,0.69,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Door & Window Schedule,High,2025-04-19,5
General Specification,0.85,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Zoning & Building Code Compliance,Neutral,2025-04-30,6
Interior Layout Plan,0.75,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,High,2025-04-23,5
Door & Window Schedule,0.92,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Construction Document,Neutral,2025-04-22,5
General Specification,0.93,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Others,Neutral,2025-05-01,7
Design Development,0.86,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Neutral,2025-04-17,6
Roof Plan,0.65,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Floor Plan,High,2025-04-15,10
Floor Plan,0.67,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Door & Window Schedule,Neutral,2025-04-11,2
3D Model,0.68,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,High,2025-04-21,10
Furniture Layout Plan,0.86,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,Neutral,2025-04-22,7
Reflected Ceiling Plan,0.66,Structural Coordination,Coordinate with the structural engineer for beam placements.,3D Render,Low,2025-05-03,1
Permit Drawing,0.98,Construction Documentation,Compile detailed construction drawings for city permit approval.,Conceptual Design,Neutral,2025-04-12,6
Reflected Ceiling Plan,0.7,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,3D Render,Low,2025-04-23,3
Conceptual Design,0.62,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Partition Plan,Low,2025-04-25,0
Zoning & Building Code Compliance,0.75,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Material Board,Neutral,2025-05-08,10
Finish Schedule,0.72,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Construction Document,High,2025-04-19,7
Landscape Plan,0.79,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-04-19,5
Virtual Reality,0.93,Construction Documentation,Compile detailed construction drawings for city permit approval.,Landscape Plan,Neutral,2025-04-13,5
Roof Plan,0.9,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,High,2025-04-26,4
Hardscape Plan,0.97,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Furniture Layout Plan,Neutral,2025-04-20,8
Interior Layout Plan,0.92,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,Neutral,2025-04-27,10
Hardscape Plan,0.91,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Conceptual Design,Neutral,2025-05-03,7
Hardscape Plan,0.61,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Conceptual Design,Low,2025-04-21,2
Section Drawing,0.89,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,High,2025-04-25,4
Virtual Reality,0.91,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Roof Plan,Neutral,2025-04-23,3
Permit Drawing,0.67,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Material Board,Neutral,2025-04-22,2
Site Plan,0.9,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Others,Low,2025-05-06,7
Section Drawing,0.78,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Landscape Plan,High,2025-05-06,5
Door & Window Schedule,0.94,Construction Documentation,Compile detailed construction drawings for city permit approval.,Technical Specification,High,2025-04-13,4
Schematic Design,0.66,Technical Specifications,Compile technical specifications for the construction phase.,Design Development,High,2025-04-15,6
Others,0.69,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Roof Plan,Neutral,2025-04-13,7
Elevation Drawing,0.95,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Others,High,2025-04-17,5
Interior Layout Plan,0.63,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Neutral,2025-04-15,8
Landscape Plan,0.77,Technical Specifications,Compile technical specifications for the construction phase.,Conceptual Design,Low,2025-05-06,6
Finish Schedule,0.74,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Virtual Reality,High,2025-05-04,5
Schematic Design,0.81,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Neutral,2025-04-28,0
